Time,U1E,U2E,U3E,U0E,U12,U23,U31,U12H2,U23H2,U31H2,U12H4,U23H4,U31H4,U12H6,U23H6,U31H6,U12H8
5/25/2018 0:19,242757,242907,241788,3636.62,419512,419547,420784,0.00734269,0.00903085,0.00742596,0.00534553,0.00674939,0.00634641,0.00496286,0.00502666,0.00589727,0.00892168
5/25/2018 0:29,242732,242938,241848,3625.77,419489,419649,420820,0.00763195,0.00962203,0.00875989,0.00670147,0.00788641,0.00708582,0.0048214,0.00603444,0.00731142,0.010039
5/25/2018 0:39,242047,242310,241172,3616.97,418371,418509,419634,0.0103985,0.0121066,0.0105359,0.00724183,0.00779381,0.00725806,0.00522632,0.00581031,0.00623246,0.0101432
5/25/2018 0:49,242116,242405,241255,3620.79,418512,418666,419762,0.00828011,0.00930433,0.00856808,0.00666104,0.00725446,0.00687358,0.0048108,0.00642946,0.00624219,0.0107564
5/25/2018 0:59,242241,242559,241410,3616.77,418742,418955,419999,0.0121735,0.0126699,0.0120253,0.00767655,0.00832931,0.00761622,0.00620884,0.00636714,0.00691334,0.0105106
5/25/2018 1:09,242582,242722,241650,3630.32,419193,419276,420513,0.00935123,0.0109267,0.00892295,0.00732387,0.00839171,0.00800714,0.00508893,0.00614662,0.00610871,0.0115151
5/25/2018 1:19,242777,242937,241859,3636.14,419530,419657,420865,0.00803039,0.00909804,0.00807669,0.00693206,0.00742892,0.00749649,0.00504678,0.0048795,0.00613264,0.0117639
5/25/2018 1:29,242694,242882,241800,3624.05,419397,419576,420742,0.00680442,0.00918811,0.00807792,0.00701567,0.00836697,0.0070346,0.00551094,0.00496393,0.00706353,0.0106021
5/25/2018 1:39,242752,243003,241877,3628.69,419557,419751,420849,0.00901076,0.0111656,0.00940215,0.00762435,0.0089452,0.00799305,0.00469647,0.00521778,0.00565194,0.0107404
5/25/2018 1:49,242793,243022,241901,3625.11,419614,419789,420898,0.00828137,0.0110276,0.0095788,0.00670476,0.00832431,0.00678469,0.00526249,0.00479596,0.00605642,0.00893684
5/25/2018 1:59,242742,243041,241865,3625.03,419593,419776,420816,0.0122121,0.0137828,0.0117501,0.00875343,0.0100504,0.00862949,0.0050014,0.00584901,0.00610547,0.0100825
5/25/2018 2:09,242593,242777,241619,3628.23,419266,419306,420470,0.00863653,0.011408,0.00997096,0.0074358,0.00963313,0.00880523,0.00421289,0.00531512,0.00649701,0.0100034
5/25/2018 2:19,242629,242826,241653,3632.32,419334,419383,420533,0.0101507,0.0121664,0.0103577,0.00701092,0.00944404,0.00856815,0.00539204,0.00517823,0.00699227,0.0113247
5/25/2018 2:29,242698,242928,241742,3633.11,419472,419558,420668,0.00731162,0.00893917,0.00792337,0.00610956,0.00817023,0.00825201,0.00491783,0.00483915,0.00640202,0.0102437
5/25/2018 2:39,242581,242793,241600,3630.99,419269,419311,420437,0.009945,0.01134,0.00975924,0.00668578,0.0086383,0.00891044,0.00503622,0.00527194,0.00644493,0.0108674
5/25/2018 2:49,242706,242861,241689,3635.49,419441,419441,420623,0.00687492,0.00935289,0.00866202,0.00537144,0.00677596,0.00727106,0.00447988,0.00469929,0.00671947,0.0115354
5/25/2018 2:59,242587,242712,241548,3633.46,419206,419182,420407,0.00939193,0.0108657,0.00971796,0.00631,0.0078222,0.00861018,0.00486089,0.00558896,0.00630178,0.0112818
5/25/2018 3:09,242627,242910,241645,3639.6,419426,419455,420496,0.00744216,0.00983259,0.00891845,0.00703307,0.00877462,0.00903645,0.0047975,0.00538571,0.00697004,0.0118114
5/25/2018 3:19,242810,243090,241835,3646.22,419736,419772,420827,0.00765591,0.0104703,0.00891793,0.00829535,0.00984432,0.0102783,0.00419582,0.0052159,0.00551398,0.0144083
5/25/2018 3:29,242797,243079,241856,3643.65,419695,419796,420838,0.00973971,0.0117503,0.0111485,0.00762294,0.00914871,0.00879895,0.00508475,0.00492789,0.00647642,0.0120499
5/25/2018 3:39,242766,243036,241794,3647.92,419651,419693,420749,0.00917907,0.0105829,0.00976859,0.00631076,0.00791625,0.00734291,0.004864,0.00483892,0.00604265,0.0131115
5/25/2018 3:49,242798,243051,241802,3647.34,419700,419713,420776,0.00793571,0.0106081,0.00927832,0.00583317,0.00838998,0.00739468,0.00456555,0.00461633,0.0057554,0.0136311
5/25/2018 3:59,242738,242982,241724,3645.75,419591,419585,420654,0.0103691,0.0115408,0.00938346,0.00781057,0.00954856,0.00796661,0.00535572,0.00586667,0.00757854,0.012036
5/25/2018 4:09,242603,242830,241553,3642.78,419368,419287,420381,0.00861293,0.0104974,0.00837584,0.00777005,0.00891414,0.00806317,0.00483436,0.00518274,0.0064968,0.010059
5/25/2018 4:19,242523,242673,241453,3642.88,419155,419050,420249,0.00830302,0.00935616,0.00879927,0.00650482,0.00771597,0.00711346,0.00476446,0.00446117,0.00604166,0.0115271
5/25/2018 4:29,242578,242677,241505,3642.91,419195,419091,420358,0.00872476,0.0105236,0.0102238,0.00681892,0.00807244,0.00702932,0.00576931,0.00530497,0.00775011,0.0127789
5/25/2018 4:39,242553,242639,241473,3644.73,419147,419016,420318,0.00984681,0.0103226,0.00805923,0.00644661,0.00825401,0.00793764,0.00516528,0.00483565,0.00676238,0.0112526
5/25/2018 4:49,242536,242628,241460,3643.15,419124,419002,420284,0.0077936,0.00877325,0.00736869,0.00547046,0.00658487,0.00660491,0.00511081,0.00461023,0.00687974,0.013808
5/25/2018 4:59,242559,242632,241491,3643.94,419147,419032,420330,0.00992413,0.0108387,0.00978048,0.00769287,0.00853872,0.00825831,0.00617377,0.00515204,0.00755073,0.0134989
5/25/2018 5:09,242273,242420,241242,3626.87,418715,418653,419848,0.00988477,0.0102491,0.00982978,0.00748248,0.00878772,0.0084267,0.00608308,0.0051427,0.00733871,0.0125435
5/25/2018 5:19,241993,242063,240921,3624.97,418165,418056,419336,0.00910139,0.0100795,0.00796565,0.00775451,0.0083369,0.00779982,0.00560153,0.00493381,0.00619348,0.011776
5/25/2018 5:29,242035,242084,240969,3626.86,418202,418123,419424,0.0100377,0.0112694,0.0103468,0.00744202,0.00838903,0.00790126,0.00612092,0.00490311,0.00708849,0.0115721
5/25/2018 5:39,241728,241695,240590,3631.48,417620,417433,418835,0.00877367,0.00952957,0.00878447,0.00686933,0.00744294,0.00699566,0.00489723,0.00498104,0.00634347,0.0118535
5/25/2018 5:49,241127,240956,239907,3630.87,416468,416182,417732,0.00734848,0.00847356,0.00669796,0.00550966,0.00575442,0.00579562,0.00466324,0.00573224,0.00677638,0.012636
5/25/2018 5:59,240496,240254,239221,3611.56,415337,414958,416593,0.00891838,0.00976733,0.00869903,0.00704836,0.0069152,0.00742051,0.00515085,0.00622129,0.00735456,0.0113969
5/25/2018 6:09,240025,240000,238809,3590.22,414730,414390,415800,0.0082209,0.00831433,0.00797772,0.010997,0.0114759,0.011597,0.00483199,0.00638031,0.00702577,0.0134396
5/25/2018 6:19,239801,239621,238503,3594.23,414202,413777,415365,0.00607116,0.00772989,0.00582633,0.00962835,0.00916542,0.0100387,0.00500744,0.00654188,0.00706288,0.0128314
5/25/2018 6:29,240138,239906,238813,3608.74,414722,414295,415940,0.0092318,0.010449,0.0104287,0.00800545,0.00641693,0.00788721,0.00693442,0.00550468,0.0081208,0.0151395
5/25/2018 6:39,240396,240155,239077,3617.96,415159,414743,416389,0.00907676,0.0106955,0.00943251,0.0104517,0.0104321,0.0105757,0.00561733,0.00687828,0.00856554,0.0114672
5/25/2018 6:49,240350,240030,238962,3626.13,415033,414511,416253,0.00726285,0.00805404,0.00794754,0.00959229,0.00962399,0.00962788,0.00574611,0.00709501,0.00827298,0.0124525
5/25/2018 6:59,239806,239304,238357,3615.07,413923,413340,415284,0.00959643,0.0103564,0.00966073,0.0105051,0.00965254,0.0102422,0.00619076,0.00741001,0.00781629,0.0121408
5/25/2018 7:09,240212,240124,239038,3612.64,414940,414706,416205,0.00815902,0.00947408,0.00829015,0.00890929,0.00931981,0.010511,0.00606526,0.00661985,0.0081975,0.0153432
5/25/2018 7:19,239701,239569,238518,3614.21,414022,413767,415315,0.0087918,0.00979394,0.00933786,0.00931344,0.00994871,0.0113464,0.00593117,0.00719767,0.00836322,0.0171272
5/25/2018 7:29,241458,241334,240314,3632.04,417084,416842,418389,0.00696144,0.00931924,0.00727782,0.00581078,0.00717889,0.00933555,0.00660897,0.00629574,0.005986,0.0189214
5/25/2018 7:39,241201,241045,240035,3636.95,416621,416341,417926,0.0103932,0.0121773,0.011421,0.00722911,0.00808774,0.00980906,0.00778351,0.00675208,0.00737745,0.0149957
5/25/2018 7:49,241148,241037,240014,3642.17,416562,416324,417859,0.00906736,0.0101766,0.00844913,0.00776765,0.00633004,0.00816413,0.00653498,0.00671872,0.00753096,0.0146369
5/25/2018 7:59,241341,241250,240252,3646.67,416889,416728,418244,0.00621193,0.00812149,0.00706187,0.009239,0.00599756,0.00759605,0.00747161,0.00643834,0.00711371,0.0149913
5/25/2018 8:09,241869,241862,240863,3648.34,417848,417822,419222,0.00792589,0.00890112,0.00880117,0.00938384,0.00739909,0.00786015,0.00644537,0.00580163,0.00595519,0.0208614
5/25/2018 8:19,241833,241867,240883,3652.27,417798,417852,419222,0.00875502,0.0103763,0.00942866,0.00681214,0.00660228,0.00687763,0.00647842,0.00588904,0.00600864,0.0158544
5/25/2018 8:29,241877,241953,240924,3648.9,417916,417972,419280,0.00732672,0.00885983,0.00703641,0.00579999,0.00628351,0.00755781,0.00681292,0.00592108,0.00570073,0.0134841
5/25/2018 8:39,241831,241894,240921,3642.31,417805,417929,419249,0.00607311,0.0084311,0.00682922,0.00582746,0.00704712,0.00804097,0.00662509,0.00525522,0.00526523,0.0141831
5/25/2018 8:49,241970,242084,241086,3645.61,418089,418249,419500,0.0105589,0.011332,0.0107786,0.00667439,0.00675842,0.00875102,0.00646584,0.00638737,0.00550761,0.0146853
5/25/2018 8:59,242067,242231,241220,3650.88,418287,418498,419706,0.00840473,0.00965258,0.00816085,0.00817981,0.00905688,0.0102392,0.00559378,0.00554799,0.00487624,0.0126174
5/25/2018 9:09,242310,242379,241430,3661.43,418601,418804,420126,0.00684453,0.0085285,0.00783974,0.00608156,0.00650423,0.00780432,0.00611031,0.0054524,0.00575295,0.010386
5/25/2018 9:19,242548,242721,241761,3666.1,419067,419422,420621,0.0068986,0.00914337,0.00817913,0.00595998,0.00715532,0.00875825,0.00663217,0.00642932,0.00697341,0.0121843
5/25/2018 9:29,242216,242442,241474,3653.54,418530,418951,420076,0.00638714,0.00753445,0.00841184,0.00476684,0.00530439,0.00601296,0.00658018,0.00456874,0.00586841,0.0118489
5/25/2018 9:39,242076,242234,241288,3650.14,418238,418601,419791,0.00915245,0.0108994,0.00996091,0.00629176,0.00696278,0.00802532,0.0065179,0.00598279,0.00611788,0.0139301
5/25/2018 9:49,241854,242132,241146,3647.39,417937,418416,419469,0.00809881,0.00968102,0.00848839,0.00644091,0.0076435,0.00853471,0.00662059,0.00591688,0.00683973,0.0129478
5/25/2018 9:59,241746,242133,241100,3644.13,417837,418388,419332,0.00972556,0.0107136,0.010129,0.00678332,0.00732185,0.00890819,0.00601663,0.00650939,0.00652422,0.0133814
